Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),2019-2020,march,1755816,1724548,31268,303270,1452546,219,219,,32,187,54727,54687,40,10492,44235,1683,1648,35,121,1562,41563,40043,1520,1942,39621,185197,184600,597,22220,162977,991,991,,838,153,48529,45569,2960,8809,39720,569,547,22,136,433,271,271,0,92,179,17251,16708,543,14424,2827,1251,1231,20,205,1046,89418,87656,1762,27858,61560,36368,35790,578,8533,27835,7817,7806,11,48,7769,19792,19560,232,1604,18188,52529,49877,2652,3198,49331,68896,65332,3564,15644,53252,23414,22177,1237,2384,21030,63,63,,,63,,,,,,,,,,,127454,125880,1574,17147,110307,134316,127619,6697,41813,92503,2568,2531,37,84,2484,7339,7174,165,305,7034,1663,1663,0,582,1081,1299,1270,29,96,1203,53038,52690,348,3571,49467,883,874,9,540,343,24162,23970,192,6424,17738,78482,75491,2991,14984,63498,575,553,22,104,471,65566,65069,497,17060,48506,47641,47336,305,14804,32837,3602,3593,9,205,3397,442324,440080,2244,56634,385690,13718,13594,124,1985,11733,100638,100386,252,8352,92286
Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),2019-2020,march,1875967,1845788,30179,319927,1556040,207,207,,38,169,61760,61731,29,11782,49978,1618,1597,21,124,1494,42268,40842,1426,2125,40143,198516,197800,716,23483,175033,972,972,,883,89,51169,48008,3161,9182,41987,801,779,22,205,596,313,313,0,99,214,18069,17620,449,15945,2124,1575,1553,22,274,1301,100579,98834,1745,29377,71202,35440,34634,806,8381,27059,8107,8085,22,41,8066,18280,18107,173,1600,16680,53242,50842,2400,3385,49857,71327,67993,3334,15816,55511,26443,25553,890,2178,24265,67,67,,,67,,,,,,,,,,,137261,136023,1238,17027,120234,148834,142149,6685,46417,102417,2560,2521,39,88,2472,6821,6678,143,338,6483,1953,1953,0,613,1340,1270,1219,51,123,1147,55261,54958,303,3949,51312,1087,1079,8,614,473,24916,24784,132,6394,18522,83203,80249,2954,14787,68416,634,611,23,87,547,72265,71785,480,18253,54012,50918,50511,407,15146,35772,3599,3594,5,269,3330,470071,467991,2080,59691,410380,14027,13875,152,1922,12105,110534,110271,263,9291,101243
Child immunisation - Rotavirus 1,2019-2020,march,1770382,1737657,32725,303178,1467204,212,212,,32,180,51889,50972,917,11238,40651,1664,1664,0,130,1534,44446,42661,1785,2441,42005,184371,183780,591,22191,162180,994,994,,841,153,43403,43101,302,5751,37652,539,539,,114,425,255,255,0,92,163,17020,16192,828,14251,2769,1237,1189,48,221,1016,88104,86069,2035,27570,60534,37427,35819,1608,9434,27993,7813,7802,11,48,7765,19285,19051,234,1613,17672,54739,51508,3231,3430,51309,75625,72570,3055,16410,59215,22706,21267,1439,2305,20401,60,60,,,60,,,,,,,,,,,127946,126413,1533,16990,110956,130434,124337,6097,40428,90006,2631,2589,42,94,2537,6580,6430,150,309,6271,1667,1667,0,582,1085,1391,1369,22,83,1308,53976,53614,362,3674,50302,877,864,13,547,330,24417,24244,173,6322,18095,86807,83413,3394,15762,71045,571,549,22,104,467,65110,64613,497,17037,48073,46233,45812,421,13998,32235,3684,3657,27,223,3461,443216,439762,3454,58256,384960,13498,13334,164,1944,11554,109555,109285,270,8713,100842
Child immunisation - Rotavirus 2,2019-2020,march,1849429,1818457,30972,313342,1536087,244,244,,41,203,56489,55602,887,13718,42771,1609,1609,0,130,1479,46574,44649,1925,2642,43932,204667,203900,767,23920,180747,908,908,,837,71,43016,42732,284,5711,37305,610,610,,139,471,272,272,0,82,190,17698,17036,662,15487,2211,1348,1305,43,229,1119,93115,91113,2002,28210,64905,40406,38749,1657,10003,30403,8494,8477,17,54,8440,18064,17858,206,1611,16453,56272,53212,3060,3473,52799,75079,72222,2857,16138,58941,23281,22226,1055,2046,21235,74,74,,,74,,,,,,,,,,,130035,128616,1419,16731,113304,135388,129730,5658,42003,93385,2674,2640,34,99,2575,6186,6078,108,296,5890,1861,1861,0,587,1274,1430,1408,22,85,1345,63671,63389,282,4391,59280,989,981,8,584,405,25800,25653,147,6374,19426,93020,89868,3152,15757,77263,636,602,34,100,536,67679,67221,458,17564,50115,47729,47211,518,14285,33444,3858,3835,23,258,3600,443778,440444,3334,58532,385246,13312,13189,123,1866,11446,123163,122933,230,9359,113804
Child immunisation - Rotavirus 3,2019-2020,march,1881757,1851856,29901,317170,1564587,209,209,,38,171,58889,57991,898,13707,45182,1518,1518,0,120,1398,45188,43544,1644,2632,42556,194932,194223,709,23137,171795,979,979,,890,89,45551,45299,252,5778,39773,782,782,,183,599,308,308,0,94,214,16979,16480,499,15158,1821,1556,1516,40,281,1275,96563,94646,1917,28180,68383,38078,36283,1795,9690,28388,8110,8088,22,41,8069,17576,17449,127,1553,16023,56022,52976,3046,3620,52402,76694,74090,2604,16384,60310,21739,20722,1017,1833,19906,67,67,,,67,,,,,,,,,,,136909,135537,1372,16950,119959,144387,138466,5921,44333,100054,2599,2560,39,84,2515,5709,5562,147,293,5416,1939,1939,0,613,1326,1314,1281,33,88,1226,58832,58527,305,4113,54719,1073,1064,9,617,456,24523,24403,120,6429,18094,93537,90447,3090,15568,77969,616,593,23,87,529,71461,70981,480,18108,53353,49527,48983,544,14307,35220,3694,3673,21,287,3407,472228,469467,2761,60873,411355,13654,13539,115,1898,11756,118015,117664,351,9203,108812
Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,2019-2020,march,1791384,1743506,47878,325257,1466127,214,214,,30,184,63998,62144,1854,12967,51031,1267,1239,28,70,1197,36408,35097,1311,2242,34166,159237,158544,693,19693,139544,793,793,,738,55,54020,51956,2064,7981,46039,641,590,51,204,437,277,277,0,82,195,14869,14326,543,13111,1758,1537,1497,40,310,1227,96699,94264,2435,29573,67126,34239,30604,3635,11091,23148,6851,6843,8,70,6781,19954,19785,169,1859,18095,56134,49675,6459,4114,52020,85479,78797,6682,22139,63340,27788,26859,929,2320,25468,67,67,,,67,,,,,,,,,,,133942,132319,1623,17094,116848,136226,129792,6434,45014,91212,2067,2034,33,34,2033,7656,7358,298,348,7308,1433,1429,4,383,1050,1234,1151,83,142,1092,55842,55514,328,3805,52037,1141,1132,9,671,470,21468,21203,265,6122,15346,78926,73732,5194,16250,62676,471,457,14,68,403,75305,74449,856,19987,55318,50215,49456,759,15698,34517,3789,3783,6,241,3548,441910,437592,4318,60452,381458,12682,12125,557,1916,10766,106605,106409,196,8438,98167
Child immunisation (9-11months) - Measles 1st dose,2019-2020,march,30753,30083,670,8434,22319,27,27,,16,11,2083,2083,0,774,1309,1,1,,,1,4,4,0,4,0,284,284,0,52,232,0,0,,0,0,217,217,0,2,215,0,0,,0,0,0,0,0,0,0,509,355,154,422,87,0,0,0,0,0,2093,2093,0,517,1576,0,0,0,0,0,0,0,0,0,0,18,18,0,0,18,426,426,0,0,426,2109,1677,432,778,1331,405,391,14,83,322,0,0,,,0,,,,,,,,,,,2081,2058,23,1024,1057,23,23,0,0,23,0,0,,,0,125,125,0,0,125,2,2,0,0,2,0,0,,,0,0,0,0,0,0,7,7,0,0,7,44,44,0,41,3,4714,4714,0,72,4642,13,13,,0,13,852,810,42,200,652,963,963,0,278,685,15,15,0,0,15,13393,13388,5,3894,9499,2,2,,0,2,343,343,0,277,66
Child immunisation (9-11months) - JE 1st dose,2019-2020,march,769516,759489,10027,83670,685846,0,0,,0,0,20997,20988,9,3852,17145,479,451,28,51,428,38203,36783,1420,2233,35970,109078,108375,703,12930,96148,0,0,,0,0,462,462,0,0,462,0,0,,0,0,0,0,0,0,0,16,0,16,11,5,1513,1480,33,293,1220,0,0,0,0,0,7435,6938,497,2021,5414,0,0,0,0,0,0,0,0,0,0,42354,39070,3284,3621,38733,26863,26560,303,4804,22059,30,26,4,1,29,0,0,,,0,,,,,,,,,,,7,7,0,0,7,21662,21431,231,3940,17722,1901,1883,18,34,1867,4290,4197,93,292,3998,0,0,0,0,0,817,728,89,144,673,50188,49859,329,3327,46861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,29094,28894,200,5362,23732,34263,33999,264,5640,28623,3766,3757,9,238,3528,267744,265432,2312,26539,241205,2027,2027,,18,2009,106327,106142,185,8319,98008
Children aged between 9 and 11 months fully immunized- Male,2019-2020,march,945357,919513,25844,171553,773804,108,108,,20,88,33254,32171,1083,6819,26435,640,622,18,30,610,18910,18237,673,1200,17710,85083,84705,378,10473,74610,416,416,,386,30,27548,26651,897,3937,23611,321,294,27,101,220,112,112,0,12,100,8088,7806,282,6951,1137,775,756,19,140,635,51168,49955,1213,15556,35612,17951,16107,1844,5749,12202,3631,3625,6,36,3595,10237,10162,75,922,9315,28933,25620,3313,2033,26900,44408,40823,3585,11172,33236,14186,13706,480,1192,12994,36,36,,,36,,,,,,,,,,,72099,70788,1311,9870,62229,70910,67729,3181,23103,47807,994,978,16,10,984,4038,3880,158,178,3860,722,722,0,179,543,641,603,38,61,580,28829,28661,168,1955,26874,586,582,4,349,237,11385,11249,136,3159,8226,43973,41226,2747,8498,35475,252,244,8,37,215,40666,38493,2173,12267,28399,25736,25350,386,7984,17752,2007,2007,0,125,1882,235278,234042,1236,31736,203542,6593,6304,289,988,5605,54843,54743,100,4325,50518
Children aged between 9 and 11 months fully immunized - Female,2019-2020,march,860303,836423,23880,159209,701094,116,116,,26,90,30310,29549,761,6133,24177,621,611,10,35,586,17529,16878,651,1034,16495,74209,73898,311,9193,65016,388,388,,363,25,25971,25243,728,3577,22394,319,296,23,102,217,104,104,0,9,95,7203,6960,243,6247,956,714,696,18,159,555,46324,45166,1158,14295,32029,16011,14278,1733,5334,10677,3220,3218,2,34,3186,9430,9359,71,905,8525,26258,23189,3069,1910,24348,40890,37498,3392,10599,30291,13415,12993,422,1097,12318,31,31,,,31,,,,,,,,,,,65402,64147,1255,8826,56576,64420,61418,3002,21534,42886,998,981,17,16,982,3727,3587,140,169,3558,698,698,0,204,494,550,510,40,76,474,26999,26839,160,1850,25149,547,542,5,322,225,10004,9875,129,2915,7089,40064,37626,2438,7817,32247,228,222,6,31,197,37627,35516,2111,11716,25911,23781,23410,371,7568,16213,1791,1791,0,117,1674,212943,211700,1243,30040,182903,6054,5788,266,930,5124,51407,51302,105,4026,47381
Child immunisation - Measles & Rubella (MR)- 1st Dose,2019-2020,march,123681,120524,3157,44979,78702,21,21,,10,11,4145,4145,0,1322,2823,105,77,28,5,100,986,888,98,210,776,8396,8396,0,1440,6956,9,9,,9,0,2276,1849,427,528,1748,0,0,,0,0,15,15,0,0,15,652,473,179,484,168,10,10,0,1,9,7989,7956,33,2653,5336,2760,2459,301,741,2019,11,11,0,0,11,605,567,38,48,557,4422,3516,906,653,3769,3286,3071,215,817,2469,761,751,10,93,668,18,18,,,18,,,,,,,,,,,10070,9899,171,2565,7505,5647,5271,376,2794,2853,70,64,6,3,67,1117,1052,65,88,1029,59,59,0,0,59,195,157,38,49,146,301,298,3,41,260,54,54,0,45,9,211,211,0,165,46,0,0,0,0,0,11,11,,,11,15236,14986,250,13655,1581,3033,3033,0,1085,1948,278,278,0,20,258,48751,48745,6,14565,34186,183,183,,30,153,1998,1991,7,860,1138
Child immunisation - Measles-1st dose,2019-2020,march,12293,12032,261,4214,8079,0,0,,0,0,790,790,0,370,420,1,1,,,1,272,203,69,39,233,128,128,0,33,95,0,0,,0,0,58,58,0,0,58,0,0,,0,0,0,0,0,0,0,122,13,109,31,91,0,0,0,0,0,709,701,8,231,478,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,306,306,0,0,306,545,541,4,164,381,36,36,0,22,14,14,14,,,14,,,,,,,,,,,383,383,0,227,156,18,18,0,0,18,0,0,,,0,41,28,13,0,41,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2960,2903,57,922,2038,0,0,,,0,115,115,0,33,82,355,355,0,114,241,1,1,0,0,1,5390,5389,1,2018,3372,14,14,,0,14,34,34,0,10,24
Child immunisation - JE 1st dose,2019-2020,march,55245,54631,614,14427,40818,0,0,,0,0,1071,1071,0,492,579,71,43,28,5,66,1136,954,182,217,919,6902,6902,0,1351,5551,0,0,,0,0,28,28,0,0,28,0,0,,0,0,0,0,0,0,0,50,0,50,5,45,45,45,0,3,42,0,0,0,0,0,451,451,0,262,189,0,0,0,0,0,0,0,0,0,0,3316,3161,155,375,2941,1251,1245,6,209,1042,34,34,0,0,34,0,0,,,0,,,,,,,,,,,41,41,0,0,41,684,638,46,77,607,72,60,12,10,62,1263,1169,94,175,1088,0,0,0,0,0,103,69,34,45,58,2730,2730,0,45,2685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,733,733,0,249,484,2257,2257,0,409,1848,290,290,0,19,271,30393,30392,1,9561,20832,162,162,,156,6,2162,2156,6,762,1400
Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),2019-2020,march,1740166,1718693,21473,284911,1455255,192,192,,33,159,56716,56699,17,9399,47317,1273,1253,20,90,1183,40173,38821,1352,2081,38092,184951,184055,896,22412,162539,898,898,,864,34,46581,46152,429,5730,40851,554,545,9,131,423,270,270,0,81,189,17097,16886,211,15522,1575,0,0,0,0,0,83067,81915,1152,24581,58486,36615,35292,1323,9160,27455,8016,8006,10,54,7962,18479,18310,169,1798,16681,50773,46599,4174,2820,47953,76698,73961,2737,17073,59625,16281,16203,78,1128,15153,53,53,,,53,,,,,,,,,,,130867,129919,948,14418,116449,125396,122694,2702,34894,90502,1830,1824,6,51,1779,6154,6101,53,364,5790,1364,1364,0,361,1003,1141,1055,86,129,1012,55948,55639,309,4047,51901,1081,1080,1,589,492,26409,26238,171,6591,19818,72499,71208,1291,11119,61380,533,512,21,76,457,64706,63748,958,18559,46147,45889,45790,99,14033,31856,3310,3303,7,276,3034,430150,428194,1956,55155,374995,13181,13113,68,1822,11359,121021,120801,220,9470,111551
Child immunisation - Measles 2nd dose (More than 16 months),2019-2020,march,47283,47160,123,13039,34244,54,54,,8,46,2319,2319,0,841,1478,9,9,,,9,0,0,0,0,0,353,353,0,67,286,0,0,,0,0,566,566,0,15,551,0,0,,0,0,0,0,0,0,0,531,472,59,486,45,0,0,0,0,0,3985,3985,0,1290,2695,0,0,0,0,0,0,0,0,0,0,116,116,0,0,116,1348,1346,2,174,1174,2691,2676,15,703,1988,658,656,2,79,579,0,0,,,0,,,,,,,,,,,5193,5193,0,1926,3267,163,153,10,20,143,2,2,,,2,78,68,10,11,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,81,0,80,1,4119,4119,0,89,4030,9,9,,,9,832,831,1,332,500,1282,1282,0,480,802,17,17,0,0,17,22115,22091,24,6165,15950,64,64,,0,64,698,698,0,273,425
Child immunisation - DPT 1st Booster,2019-2020,march,1797842,1766943,30899,307376,1490466,208,208,,36,172,60513,59503,1010,10677,49836,1291,1271,20,94,1197,40391,39001,1390,1952,38439,182700,181790,910,22066,160634,906,906,,864,42,46454,46191,263,5573,40881,574,545,29,151,423,271,271,0,81,190,17978,17616,362,16115,1863,1527,1478,49,271,1256,86125,84858,1267,25381,60744,36557,35611,946,8820,27737,8010,8000,10,54,7956,18657,18430,227,1856,16801,51863,47503,4360,3127,48736,78192,75263,2929,17371,60821,24858,23836,1022,2218,22640,51,51,,,51,,,,,,,,,,,135901,134763,1138,16447,119454,136339,129867,6472,44444,91895,1951,1937,14,69,1882,5857,5736,121,352,5505,1358,1358,0,361,997,1101,1049,52,121,980,55822,55621,201,3945,51877,1077,1076,1,589,488,26430,26260,170,6519,19911,78464,77164,1300,11627,66837,577,556,21,76,501,77292,72879,4413,22476,54816,47052,46867,185,14358,32694,3222,3220,2,277,2945,435196,433511,1685,57786,377410,13129,13027,102,1753,11376,119948,119720,228,9469,110479
Child immunisation - OPV Booster,2019-2020,march,1794042,1764794,29248,304788,1489254,234,234,,41,193,60087,59366,721,10269,49818,1286,1266,20,93,1193,40590,39205,1385,2062,38528,184582,183674,908,22292,162290,915,915,,864,51,46296,46070,226,5536,40760,574,545,29,151,423,271,271,0,81,190,17865,17535,330,16059,1806,1522,1473,49,270,1252,85681,84435,1246,25024,60657,36380,35434,946,8791,27589,8010,8000,10,54,7956,18637,18410,227,1856,16781,51712,47549,4163,2878,48834,77741,74826,2915,17466,60275,24740,23811,929,2129,22611,47,47,,,47,,,,,,,,,,,135228,134014,1214,16075,119153,136149,129626,6523,44368,91781,1946,1932,14,69,1877,5797,5684,113,352,5445,1355,1355,0,361,994,1098,1045,53,116,982,55514,55314,200,3956,51558,1077,1076,1,589,488,26428,26258,170,6522,19906,78042,76751,1291,11475,66567,581,560,21,76,505,77355,72928,4427,22635,54720,46941,46850,91,14339,32602,3221,3221,0,277,2944,432717,432017,700,56472,376245,13110,13021,89,1753,11357,120313,120076,237,9437,110876
"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",2019-2020,march,30759,22276,8483,19625,11134,26,26,,0,26,620,620,0,163,457,1,1,,0,1,216,110,106,46,170,402,402,0,74,328,1,1,,0,1,85,77,8,8,77,0,0,,0,0,0,0,0,0,0,491,22,469,253,238,1602,1531,71,324,1278,264,230,34,42,222,53,53,0,0,53,0,0,0,0,0,12,12,0,0,12,713,515,198,198,515,2283,1239,1044,1329,954,3658,1175,2483,719,2939,0,0,,,0,,,,,,,,,,,170,164,6,6,164,10578,6929,3649,9691,887,10,0,10,10,0,38,23,15,0,38,0,0,0,0,0,26,,26,26,,0,0,0,,0,10,10,0,0,10,11,11,0,9,2,0,0,0,0,0,49,49,,,49,3952,3704,248,3484,468,696,696,0,388,308,30,0,30,30,0,4428,4423,5,2675,1753,57,57,,0,57,277,196,81,150,127
Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,2019-2020,march,774288,769384,4904,75112,699176,0,0,,0,0,16925,16916,9,2038,14887,524,524,,67,457,39983,38650,1333,1912,38071,128482,127586,896,15310,113172,0,0,,0,0,429,429,0,0,429,0,0,,0,0,0,0,0,0,0,19,0,19,13,6,1465,1436,29,265,1200,0,0,0,0,0,8167,8157,10,1659,6508,0,0,0,0,0,0,0,0,0,0,36924,35650,1274,2077,34847,25584,25337,247,4523,21061,3305,3300,5,316,2989,0,0,,,0,,,,,,,,,,,11,11,0,0,11,21425,21247,178,3074,18351,1748,1739,9,50,1698,4120,4010,110,413,3707,0,0,0,0,0,735,651,84,135,600,40134,39852,282,3167,36967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,28203,28203,0,4671,23532,30729,30646,83,4732,25997,3021,3021,0,258,2763,260004,259903,101,21269,238735,2219,2219,,25,2194,120132,119897,235,9138,110994
Child immunisation - Typhoid,2019-2020,march,9402,5919,3483,3358,6044,0,0,,0,0,270,270,0,116,154,5,5,,0,5,155,42,113,44,111,126,126,0,22,104,0,0,,0,0,175,101,74,74,101,0,0,,0,0,0,0,0,0,0,815,263,552,373,442,30,0,30,28,2,168,167,1,2,166,59,45,14,30,29,0,0,0,0,0,32,6,26,26,6,448,254,194,213,235,826,26,800,674,152,399,27,372,189,210,0,0,,,0,,,,,,,,,,,151,146,5,14,137,2053,1002,1051,811,1242,9,0,9,9,0,158,21,137,,158,11,10,1,0,11,16,0,16,16,0,0,0,0,,0,0,0,0,0,0,66,59,7,50,16,862,862,0,76,786,0,0,,,0,317,317,0,133,184,348,348,0,77,271,26,0,26,25,1,1636,1628,8,297,1339,37,35,2,0,37,204,159,45,59,145
Children more than 5 years received DPT5 (2nd Booster),2019-2020,march,1166341,1148755,17586,207506,958835,76,76,,27,49,60537,58245,2292,12177,48360,461,445,16,27,434,24965,24172,793,1368,23597,96137,95423,714,10665,85472,586,586,,542,44,32635,32541,94,4645,27990,532,513,19,113,419,108,108,0,39,69,13332,13030,302,11853,1479,1147,1093,54,290,857,60720,60158,562,14539,46181,20259,20235,24,6047,14212,770,770,0,27,743,14283,14137,146,1625,12658,25935,25173,762,1926,24009,19495,17866,1629,6631,12864,20834,20279,555,1451,19383,38,38,,,38,,,,,,,,,,,101389,100865,524,12634,88755,93751,87901,5850,33804,59947,1457,1438,19,63,1394,3034,2972,62,235,2799,699,699,0,125,574,388,352,36,65,323,66108,65933,175,3067,63041,119,119,0,66,53,21113,21032,81,5144,15969,49056,48826,230,5448,43608,273,254,19,39,234,23519,21947,1572,12271,11248,40082,39290,792,11778,28304,2311,2310,1,219,2092,271714,271685,29,40016,231698,9016,8925,91,841,8175,89462,89319,143,7699,81763
Children more than 10 years received TT10,2019-2020,march,919152,900455,18697,157456,761696,16,16,,2,14,57566,56552,1014,7994,49572,228,220,8,4,224,15886,15312,574,1321,14565,51284,51129,155,5436,45848,402,402,,372,30,28117,27802,315,4022,24095,660,652,8,53,607,36,36,0,24,12,2797,2587,210,2239,558,469,429,40,146,323,54715,54287,428,9772,44943,10566,10543,23,3393,7173,502,502,0,4,498,11423,11380,43,1170,10253,18481,17808,673,1265,17216,14483,13545,938,4123,10360,14140,13507,633,1146,12994,31,31,,,31,,,,,,,,,,,90405,90110,295,9837,80568,89950,81221,8729,34173,55777,1098,1086,12,48,1050,2004,1967,37,162,1842,573,573,0,59,514,288,267,21,40,248,21339,21269,70,1888,19451,136,136,0,96,40,15166,15116,50,4477,10689,39734,39588,146,2781,36953,322,309,13,34,288,18552,17047,1505,9640,8912,38429,37816,613,11037,27392,1265,1265,0,236,1029,231370,229428,1942,33099,198271,7435,7338,97,464,6971,79284,79179,105,6899,72385
Children more than 16 years received TT16,2019-2020,march,909296,891228,18068,138405,770891,0,0,,0,0,60880,59901,979,7788,53092,185,183,2,5,180,11322,10823,499,940,10382,87069,86959,110,8390,78679,246,246,,243,3,28681,27584,1097,4511,24170,387,382,5,25,362,12,12,0,9,3,762,623,139,621,141,216,210,6,54,162,56076,55659,417,8589,47487,6880,6852,28,1785,5095,509,509,0,0,509,9258,9226,32,952,8306,17746,17321,425,699,17047,10628,9734,894,3355,7273,5153,4410,743,586,4567,34,34,,,34,,,,,,,,,,,89103,88872,231,8918,80185,81764,73869,7895,29004,52760,1030,1025,5,21,1009,1231,1197,34,60,1171,499,499,0,113,386,367,360,7,47,320,21209,21150,59,1273,19936,2,2,0,1,1,11416,11358,58,3304,8112,35295,35184,111,2146,33149,99,99,0,2,97,24021,22526,1495,9860,14161,36990,36297,693,10203,26787,511,511,0,86,425,238641,236624,2017,30588,208053,6180,6133,47,299,5881,64894,64854,40,3928,60966
Number of cases of AEFI - Abscess,2019-2020,march,1567,1564,3,529,1038,0,0,,0,0,2,2,0,0,2,0,0,,0,0,32,32,0,12,20,117,117,0,4,113,0,0,,0,0,14,14,0,0,14,0,0,,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,152,150,2,58,94,71,71,0,22,49,3,3,0,0,3,20,20,0,0,20,77,77,0,0,77,52,52,0,3,49,9,9,0,0,9,0,0,,,0,,,,,,,,,,,80,80,0,6,74,6,6,0,3,3,0,0,0,0,0,6,6,0,0,6,2,2,0,2,0,0,0,0,0,0,149,149,0,8,141,5,5,0,3,2,15,15,0,0,15,22,22,0,0,22,0,0,,0,0,48,48,0,40,8,57,57,0,9,48,16,16,0,0,16,266,266,0,126,140,34,34,,9,25,310,309,1,224,86
Number of cases of AEFI - Death,2019-2020,march,9,9,0,5,4,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,,0,,,,,,,,,,,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,,0,0,3,3,0,3,0
